ID,W,G,H,1B,2B,3B,HR,BB,SO,SB,BA,SLG,OPS,OBA
957,93,162,1526,991,303,32,200,478,1103,91,0.272987478,0.445974955,0.779578063,0.333603108
959,81,162,1468,1005,302,31,130,519,1142,62,0.25863284,0.391472868,0.714669811,0.323196943
961,63,162,1385,981,237,19,148,411,1207,105,0.248966385,0.378213194,0.680392851,0.302179657
963,74,162,1511,1033,283,36,159,427,1204,112,0.26986962,0.418467583,0.741122422,0.322654838
965,62,162,1257,912,219,31,95,432,1232,78,0.230684529,0.334556799,0.627194733,0.292637934
967,74,162,1318,893,263,32,130,512,1384,114,0.237093002,0.366073035,0.671727893,0.305654859
969,94,162,1345,876,273,35,161,469,1330,94,0.245169522,0.395734597,0.708975704,0.313241107
971,76,162,1446,1024,280,35,107,469,1078,67,0.260446686,0.381304035,0.701526912,0.320222878
973,86,162,1365,918,259,27,161,464,1192,88,0.251103753,0.397534952,0.710129031,0.312594079
975,97,162,1566,996,363,29,178,581,1308,123,0.277119094,0.446115732,0.795344564,0.349228832
977,92,162,1391,907,290,23,171,562,1283,117,0.25452882,0.409881061,0.73658468,0.326703619
979,51,162,1307,877,266,16,148,426,1535,110,0.239508888,0.375481034,0.674325835,0.298844802
981,78,162,1476,1003,270,39,164,523,1221,82,0.264137437,0.414459556,0.743400581,0.328941025
983,85,162,1321,906,247,24,144,466,1214,115,0.242429804,0.37584878,0.682772881,0.306924101
985,71,162,1318,864,249,17,188,529,1353,49,0.23713566,0.389528607,0.695093202,0.305564595
987,64,162,1379,955,259,47,118,398,1165,86,0.248378963,0.375720461,0.677594735,0.301874274
989,73,162,1315,857,270,31,157,442,1477,65,0.238743646,0.38453159,0.684118025,0.299586435
991,66,162,1551,1017,307,41,186,397,1281,85,0.27637206,0.445117605,0.772062732,0.326945127
993,77,162,1399,987,254,36,122,501,1419,58,0.252618274,0.377573131,0.694111656,0.316538524
995,79,162,1306,887,275,19,125,516,1264,101,0.238669591,0.364400585,0.672649024,0.308248439
997,88,162,1436,975,275,30,156,520,1244,104,0.259393064,0.404443642,0.734156723,0.329713082
999,88,162,1407,976,257,42,132,427,1245,56,0.254752852,0.388194822,0.698853544,0.310658722
1001,96,162,1403,959,265,27,152,517,1304,101,0.253157705,0.392998917,0.713986572,0.320987654
1003,71,162,1355,930,282,20,123,535,1337,63,0.244100162,0.368582237,0.684083365,0.315501128
1005,85,162,1411,962,284,23,142,504,1189,104,0.25309417,0.388699552,0.705879454,0.317179903
1007,70,162,1317,895,240,19,163,495,1442,122,0.241784469,0.382595924,0.692060536,0.309464611
1009,98,162,1464,974,304,31,155,492,1266,81,0.259023355,0.406050955,0.728198606,0.322147651
1011,84,162,1349,929,247,26,147,452,1133,112,0.245406585,0.380025468,0.686866182,0.306840714
1013,87,162,1328,913,247,32,136,396,1232,96,0.243669725,0.37559633,0.675933031,0.3003367
1015,67,162,1400,1001,260,28,111,417,1162,105,0.256410256,0.375274725,0.689164078,0.313889353
1017,88,163,1375,1016,202,37,120,571,772,72,0.248508946,0.36345563,0.682262969,0.318807339
1019,68,163,1372,1043,203,31,95,509,801,119,0.254027032,0.355860026,0.674134138,0.318274112
1021,82,163,1530,1192,190,37,111,520,791,74,0.271661932,0.377663352,0.71088832,0.333224967
1023,99,163,1493,1005,270,46,172,582,835,74,0.267227492,0.42437802,0.760737236,0.336359215
1025,63,163,1399,1029,255,41,74,498,817,135,0.250223574,0.350205688,0.661751097,0.31154541
1027,98,163,1541,1077,264,52,148,483,855,180,0.27221339,0.415650945,0.745078028,0.329427083
1029,89,163,1445,1031,256,45,113,537,852,156,0.261965192,0.386149384,0.713590322,0.327440938
1031,92,163,1462,1081,209,24,148,492,846,123,0.262571839,0.388469828,0.710912072,0.322442244
1033,84,163,1543,1115,232,53,143,645,844,75,0.273194051,0.408994334,0.756682241,0.347687907
1035,76,163,1616,1202,263,27,124,480,589,91,0.28400703,0.405096661,0.744804927,0.339708266
1037,95,163,1599,1065,277,41,216,484,714,84,0.278911565,0.454561312,0.789610371,0.335049059
1039,82,163,1482,1042,297,41,102,509,733,138,0.264124042,0.386205667,0.711532465,0.325326797
1041,81,163,1384,1050,207,34,93,482,822,179,0.250407092,0.350642301,0.6611765,0.310534199
1043,77,163,1429,1048,242,33,106,442,767,119,0.254723708,0.36631016,0.675464159,0.309153999
1045,89,163,1555,1069,275,68,143,460,816,193,0.273430631,0.421135924,0.748938104,0.32780218
1047,85,163,1386,956,247,37,146,471,843,108,0.253382084,0.39213894,0.70471258,0.312573641
1049,86,163,1540,1039,285,35,181,496,848,110,0.269419174,0.426522043,0.75427478,0.327752737
1051,81,163,1400,985,260,48,107,454,1053,189,0.251211197,0.372689754,0.680305483,0.307615729
1053,84,163,1521,1069,259,32,161,446,923,100,0.270303892,0.413541852,0.737434491,0.32389264
1055,88,163,1557,972,299,29,257,645,915,76,0.273686061,0.471963438,0.819611054,0.347647616
1057,90,163,1494,998,250,34,212,601,1223,65,0.264471588,0.433351036,0.768551036,0.3352
1059,89,163,1540,1061,292,26,161,678,1040,102,0.273631841,0.420575693,0.772304205,0.351728513
